0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:26:36 +0530] "GET /Dynamic_Allocation/CSS/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:26:36 +0530] "GET /Dynamic_Allocation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:26:36 +0530] "GET /Dynamic_Allocation/js/init.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:26:36 +0530] "GET /Dynamic_Allocation/JSP/js/jquery.js HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:26:36 +0530] "GET /Dynamic_Allocation/JSP/js/init.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:26:36 +0530] "GET /Dynamic_Allocation/images/header.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:26:36 +0530] "GET /Dynamic_Allocation/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:27:17 +0530] "GET /Dynamic_Allocation/JSP/home.jsp HTTP/1.1" 200 3056
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:27:17 +0530] "GET /Dynamic_Allocation/JSP/style.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:27:17 +0530] "GET /Dynamic_Allocation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:27:17 +0530] "GET /Dynamic_Allocation/CSS/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:27:17 +0530] "GET /Dynamic_Allocation/JSP/js/init.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:27:17 +0530] "GET /Dynamic_Allocation/JSP/js/jquery.js HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:27:17 +0530] "GET /Dynamic_Allocation/js/init.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:27:17 +0530] "GET /Dynamic_Allocation/images/header.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:27:17 +0530] "GET /Dynamic_Allocation/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:27:59 +0530] "GET /Dynamic_Allocation/JSP/home.jsp HTTP/1.1" 200 3056
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:28:01 +0530] "GET /Dynamic_Allocation/JSP/home.jsp HTTP/1.1" 200 3056
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:28:43 +0530] "GET /Dynamic_Allocation/JSP/home.jsp HTTP/1.1" 200 3056
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:28:43 +0530] "GET /Dynamic_Allocation/JSP/style.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:28:43 +0530] "GET /Dynamic_Allocation/CSS/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:28:43 +0530] "GET /Dynamic_Allocation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:28:43 +0530] "GET /Dynamic_Allocation/js/init.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:28:43 +0530] "GET /Dynamic_Allocation/JSP/js/jquery.js HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:28:43 +0530] "GET /Dynamic_Allocation/JSP/js/init.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:28:43 +0530] "GET /Dynamic_Allocation/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:28:43 +0530] "GET /Dynamic_Allocation/images/header.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:29:24 +0530] "GET /Dynamic_Allocation/JSP/home.jsp HTTP/1.1" 200 3056
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:29:24 +0530] "GET /Dynamic_Allocation/JSP/style.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:29:24 +0530] "GET /Dynamic_Allocation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:29:24 +0530] "GET /Dynamic_Allocation/CSS/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:29:24 +0530] "GET /Dynamic_Allocation/js/init.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:29:24 +0530] "GET /Dynamic_Allocation/JSP/js/jquery.js HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:29:24 +0530] "GET /Dynamic_Allocation/JSP/js/init.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:29:24 +0530] "GET /Dynamic_Allocation/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:29:24 +0530] "GET /Dynamic_Allocation/images/header.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:29:40 +0530] "GET /Dynamic_Allocation/JSP/server_config.jsp HTTP/1.1" 200 5885
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:29:40 +0530] "GET /Dynamic_Allocation/JSP/style.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:29:40 +0530] "GET /Dynamic_Allocation/JSP/js/jquery.js HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:29:40 +0530] "GET /Dynamic_Allocation/JSP/js/init.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:29:40 +0530] "GET /Dynamic_Allocation/images/edit.jpg HTTP/1.1" 200 52224
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:29:40 +0530] "GET /Dynamic_Allocation/images/Delete.png HTTP/1.1" 200 36074
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:29:44 +0530] "GET /Dynamic_Allocation/JSP/applications.jsp HTTP/1.1" 200 4908
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:29:44 +0530] "GET /Dynamic_Allocation/JSP/style.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:29:49 +0530] "GET /Dynamic_Allocation/JSP/active_con.jsp HTTP/1.1" 200 3172
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:29:49 +0530] "GET /Dynamic_Allocation/JSP/style.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:29:49 +0530] "GET /Dynamic_Allocation/JSP/js/jquery.js HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:29:49 +0530] "GET /Dynamic_Allocation/JSP/js/init.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:30:30 +0530] "GET /Dynamic_Allocation/JSP/active_con.jsp HTTP/1.1" 200 3172
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:30:30 +0530] "GET /Dynamic_Allocation/JSP/style.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:30:30 +0530] "GET /Dynamic_Allocation/CSS/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:30:30 +0530] "GET /Dynamic_Allocation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:30:30 +0530] "GET /Dynamic_Allocation/JSP/js/jquery.js HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:30:30 +0530] "GET /Dynamic_Allocation/js/init.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:30:30 +0530] "GET /Dynamic_Allocation/JSP/js/init.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:30:30 +0530] "GET /Dynamic_Allocation/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:30:30 +0530] "GET /Dynamic_Allocation/images/header.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:30:39 +0530] "GET /Dynamic_Allocation/JSP/server_config.jsp HTTP/1.1" 200 5885
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:30:39 +0530] "GET /Dynamic_Allocation/JSP/style.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:30:39 +0530] "GET /Dynamic_Allocation/JSP/js/jquery.js HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:30:39 +0530] "GET /Dynamic_Allocation/JSP/js/init.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:30:41 +0530] "GET /Dynamic_Allocation/JSP/applications.jsp HTTP/1.1" 200 4908
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:30:41 +0530] "GET /Dynamic_Allocation/JSP/style.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:30:42 +0530] "GET /Dynamic_Allocation/JSP/server_det.jsp HTTP/1.1" 200 4085
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:30:42 +0530] "GET /Dynamic_Allocation/JSP/style.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:30:42 +0530] "GET /Dynamic_Allocation/JSP/js/jquery.js HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:30:42 +0530] "GET /Dynamic_Allocation/JSP/js/init.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:30:43 +0530] "GET /Dynamic_Allocation/JSP/active_con.jsp HTTP/1.1" 200 3172
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:30:43 +0530] "GET /Dynamic_Allocation/JSP/js/jquery.js HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:30:43 +0530] "GET /Dynamic_Allocation/JSP/style.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:30:43 +0530] "GET /Dynamic_Allocation/JSP/js/init.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:30:55 +0530] "GET /Dynamic_Allocation/JSP/server_config.jsp HTTP/1.1" 200 5885
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:30:55 +0530] "GET /Dynamic_Allocation/JSP/js/jquery.js HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:30:55 +0530] "GET /Dynamic_Allocation/JSP/style.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:30:55 +0530] "GET /Dynamic_Allocation/JSP/js/init.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:31:13 +0530] "GET /Dynamic_Allocation/JSP/active_con.jsp HTTP/1.1" 200 3172
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:31:13 +0530] "GET /Dynamic_Allocation/JSP/style.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:31:13 +0530] "GET /Dynamic_Allocation/JSP/js/jquery.js HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:31:13 +0530] "GET /Dynamic_Allocation/JSP/js/init.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:31:15 +0530] "GET /Dynamic_Allocation/JSP/server_config.jsp HTTP/1.1" 200 5885
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:31:15 +0530] "GET /Dynamic_Allocation/JSP/style.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:31:15 +0530] "GET /Dynamic_Allocation/JSP/js/jquery.js HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:31:15 +0530] "GET /Dynamic_Allocation/JSP/js/init.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:31:56 +0530] "GET /Dynamic_Allocation/JSP/server_config.jsp HTTP/1.1" 200 5885
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:31:56 +0530] "GET /Dynamic_Allocation/JSP/style.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:31:56 +0530] "GET /Dynamic_Allocation/CSS/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:31:56 +0530] "GET /Dynamic_Allocation/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:31:56 +0530] "GET /Dynamic_Allocation/js/init.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:31:56 +0530] "GET /Dynamic_Allocation/JSP/js/init.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [03/Apr/2015:10:31:56 +0530] "GET /Dynamic_Allocation/JSP/js/jquery.js HTTP/1.1" 404 1021
